item,item_information
математика(профильный уровень),"Экзамен по профильной математике продолжается 3 часа 55 минут и состоит из двух частей: Часть 1: Состоит из 12 заданий, требующих простого ответа (например, числовой), зачастую на знание формул и теорем. Часть 2: Содержит 7 задач с развёрнутым ответом, которые требуют от учащихся не только применения знаний, но и умения излагать свои решения, рассуждая логически. Максимальный первичный балл за всю работу – 32.(максимум вторичных баллов - 100)"
русский язык,""
физика,""
химия,""
история,""
немецкий язык,""
французский язык,""
биология,""
информатика и ИКТ,""
обществознание,""
английский язык,""
география,""
испанский язык,""
китайский язык,""
литература,""
